Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU60,57.261803,32.56946,297.9781,6839.444,Non-binary,34.22998,16.381674,45.77008,5.242587,Carrier B,5.631577,Supplier 4,Delhi,17.61712,493.42105,15.783728,61.851883,Fail,3.1458814,Rail,Route A,666.4184
cosmetics,SKU44,52.126575,33.288353,159.40758,10177.755,Female,-19.836666,18.068813,43.995964,3.2794178,Carrier A,5.723177,Supplier 5,Chennai,7.326539,426.9831,17.197266,100.5639,Fail,4.9783506,Rail,Route A,621.7585
cosmetics,SKU54,48.42471,39.4734,401.28366,6570.144,Male,31.50917,21.37538,45.401493,4.537714,Carrier B,4.582074,Supplier 3,Delhi,7.863619,430.85785,19.62246,49.926983,Fail,2.979437,Road,Route A,539.84845
cosmetics,SKU5,54.275166,33.678288,225.32603,9243.856,Male,-6.981316,16.9988,46.448563,4.052061,Carrier B,5.9391155,Supplier 5,Delhi,5.9702234,470.19394,17.771786,93.257576,Fail,4.704961,Rail,Route A,546.2533
haircare,SKU52,52.54257,61.258003,463.96725,7581.503,Non-binary,43.101578,22.680492,38.920975,5.1001916,Carrier A,5.645828,Supplier 3,Kolkata,7.8130846,640.71344,22.565287,70.742134,Pass,1.0056504,Rail,Route A,617.41693
haircare,SKU61,50.934597,51.60964,454.05798,7971.66,Non-binary,34.74801,21.553652,41.66342,4.434375,Carrier B,5.4357967,Supplier 4,Kolkata,8.751879,560.0603,22.490505,68.96789,Pass,1.9427441,Rail,Route A,668.7481
haircare,SKU48,49.841835,27.392912,347.44482,7869.2954,Male,27.386425,15.662002,47.903835,4.2228775,Carrier B,5.520434,Supplier 4,Delhi,16.96577,455.79477,18.279097,75.785286,Fail,3.3426714,Rail,Route A,674.09546
cosmetics,SKU45,51.783234,39.787373,211.34785,8403.425,Male,0.9059329,20.915272,49.00951,4.191945,Carrier B,4.6664543,Supplier 4,Delhi,7.669219,370.2602,17.536034,80.244576,Fail,4.0320644,Rail,Route A,548.2081
haircare,SKU57,45.28849,60.225914,285.84512,6971.5396,Male,17.304848,19.793293,51.158207,4.6564775,Carrier B,3.7113988,Supplier 4,Chennai,4.12097,375.2896,17.69347,84.763405,Fail,3.3579564,Rail,Route A,556.1983
haircare,SKU6,43.648457,67.74624,432.50143,5873.2563,Male,25.603407,22.642635,40.38386,4.4886627,Carrier B,3.5386739,Supplier 3,Delhi,-2.7579937,420.29205,20.63603,76.425934,Fail,2.4031065,Road,Route A,478.2948
cosmetics,SKU43,52.399315,36.646683,194.07185,9787.978,Male,-16.25185,20.30502,47.564377,3.524593,Carrier B,5.042068,Supplier 5,Chennai,4.024087,387.0229,17.143152,94.14106,Fail,4.770532,Road,Route A,552.93854
skincare,SKU66,41.71225,93.113434,310.24564,6813.3613,Non-binary,41.744568,24.03653,10.820464,3.7588677,Carrier A,4.6137204,Supplier 3,Chennai,5.832596,555.27344,21.670467,102.04631,Pass,1.0533938,Air,Route A,670.9309
haircare,SKU6,42.08214,61.869926,390.71347,7377.385,Non-binary,31.265965,17.616123,33.136932,4.467821,Carrier A,4.9464808,Supplier 3,Delhi,9.524527,510.2894,19.90596,87.57358,Pass,1.8449417,Rail,Route A,610.7917
cosmetics,SKU50,55.08019,38.361557,173.18513,10182.477,Male,-14.878944,22.732943,39.3463,2.7927184,Carrier A,5.1279154,Supplier 5,Chennai,3.3173199,373.34833,18.660719,110.115715,Fail,4.621498,Rail,Route A,632.4405
cosmetics,SKU15,61.08824,35.318405,471.14572,8849.954,Male,-82.09011,32.055454,95.50893,2.1309273,Carrier B,3.29148,Supplier 5,Kolkata,-30.415503,274.77386,23.128729,95.67388,Fail,5.4126883,Sea,Route A,284.45395
cosmetics,SKU55,57.510735,36.6027,56.053295,9990.724,Male,-11.448288,19.034767,44.52216,2.341318,Carrier A,4.8775916,Supplier 5,Bangalore,7.215787,284.81125,16.613182,125.20896,Fail,4.5282106,Rail,Route A,765.12006
cosmetics,SKU36,47.453587,40.04905,294.74625,8093.8174,Male,6.2534328,21.271526,44.785248,3.886595,Carrier A,5.019472,Supplier 5,Chennai,4.3166323,489.4785,21.185883,102.46553,Fail,3.8016472,Rail,Route A,558.70856
cosmetics,SKU34,55.84697,45.44473,594.74524,6341.491,Non-binary,-20.132633,28.443693,67.74122,4.3194838,Carrier B,4.2894597,Supplier 4,Kolkata,-8.657637,478.7604,24.795254,73.25343,Fail,3.567305,Road,Route A,457.01556
cosmetics,SKU46,51.015812,40.998657,376.63547,7242.4663,Male,4.9146457,22.67781,57.0062,4.4551125,Carrier B,4.4549704,Supplier 4,Delhi,2.5480595,402.5066,18.11126,62.68497,Fail,3.8710659,Road,Route A,498.7634
cosmetics,SKU41,57.629757,39.675247,534.8451,7610.488,Non-binary,-2.571751,18.085546,67.16517,4.8802156,Carrier B,5.029303,Supplier 4,Mumbai,3.1097355,520.6169,20.85636,58.272743,Fail,3.5295231,Road,Route A,482.00455
cosmetics,SKU36,56.112225,48.061146,840.7303,10079.879,Non-binary,-30.584568,18.296057,80.873276,6.955432,Carrier B,5.7240515,Supplier 5,Mumbai,-7.469324,656.1042,23.086163,71.27736,Pass,3.3030274,Road,Route A,167.01038
cosmetics,SKU53,51.253277,41.64939,313.21313,7445.1743,Male,12.05249,20.700289,43.379387,4.221835,Carrier B,4.799552,Supplier 4,Delhi,6.715042,405.86633,17.741457,76.22659,Fail,3.4130278,Rail,Route A,553.0344
cosmetics,SKU5,49.754143,37.118584,242.1013,8799.62,Male,7.8691516,19.001139,40.745903,3.9495687,Carrier B,4.9246144,Supplier 4,Chennai,10.750247,388.2472,16.951023,78.27434,Fail,3.9060447,Rail,Route A,587.6347
cosmetics,SKU47,58.13298,37.134857,307.87524,8066.359,Non-binary,-4.857903,16.64024,58.42072,5.21213,Carrier B,5.8951936,Supplier 5,Kolkata,4.876527,507.85287,18.248882,82.88467,Fail,4.54509,Rail,Route A,519.22186
cosmetics,SKU40,46.39573,36.80307,179.33998,9063.043,Male,-23.63271,16.051937,47.540165,3.0712972,Carrier A,4.910876,Supplier 5,Chennai,4.6711435,350.3011,17.394775,106.16007,Fail,4.9175806,Rail,Route A,650.6562
haircare,SKU36,33.81887,28.676619,326.7237,4960.3423,Male,50.436028,12.301981,52.2438,4.6171436,Carrier A,6.1143208,Supplier 4,Delhi,15.685921,461.5072,18.68133,67.7257,Pass,3.0861294,Rail,Route A,647.8261
cosmetics,SKU51,50.96868,43.08893,240.85014,8681.18,Male,11.683666,20.88424,39.021503,3.6474452,Carrier B,4.605566,Supplier 4,Chennai,7.407322,363.11234,18.08888,81.2835,Fail,3.509299,Rail,Route A,584.0228
cosmetics,SKU33,51.19906,38.550396,512.7438,6251.916,Non-binary,-10.216614,28.022022,75.166084,3.9258304,Carrier B,3.391504,Supplier 4,Kolkata,-9.587069,358.02304,20.109653,58.469975,Fail,3.495089,Road,Route A,410.45673
cosmetics,SKU5,50.707672,41.234394,346.7613,7971.089,Male,17.29396,18.908398,50.388123,4.6707435,Carrier B,5.386613,Supplier 4,Kolkata,8.412887,462.81165,18.299215,66.247345,Fail,3.5797603,Road,Route A,524.6398
cosmetics,SKU29,55.254765,36.652824,489.59225,5970.7334,Non-binary,-26.475552,27.287834,84.1703,4.2663736,Carrier B,3.503716,Supplier 5,Delhi,-9.971485,397.4391,19.415607,64.002945,Fail,4.794679,Sea,Route A,439.87753
cosmetics,SKU53,56.75808,67.25857,219.09538,8366.51,Male,-11.513592,23.79822,57.74802,3.6029584,Carrier A,3.5173256,Supplier 4,Bangalore,-4.2671986,327.21857,18.339949,119.69503,Fail,4.145793,Road,Route A,592.35596
cosmetics,SKU27,55.55686,38.498005,552.59106,6771.0444,Non-binary,-38.01018,22.545353,86.75333,5.4272637,Carrier B,4.744776,Supplier 5,Kolkata,-8.899792,444.83148,20.855967,61.93432,Fail,4.7365465,Road,Route A,367.72632
cosmetics,SKU24,54.761944,36.15164,468.7724,7279.2964,Male,-49.147167,30.811024,86.9052,3.4077027,Carrier B,3.1994977,Supplier 5,Delhi,-17.053347,321.85092,20.576096,75.56659,Fail,4.8356256,Sea,Route A,384.62772
cosmetics,SKU49,64.029816,41.18254,924.84753,10503.949,Non-binary,-17.892796,20.817648,72.23716,6.8412585,Carrier B,6.2131114,Supplier 5,Mumbai,-0.2181739,706.7201,22.483356,62.49959,Pass,2.236029,Road,Route A,309.33517
haircare,SKU62,51.65921,57.20831,532.83685,7709.149,Non-binary,23.655287,17.668331,43.42895,4.956905,Carrier A,5.9430475,Supplier 4,Kolkata,6.345251,685.5421,23.393663,88.83762,Pass,1.8076661,Rail,Route A,521.1235
cosmetics,SKU39,52.91617,41.21213,353.375,7384.344,Male,-14.314533,23.945597,60.193752,4.1153946,Carrier B,4.091199,Supplier 5,Delhi,-1.8896273,396.76328,19.074238,74.43636,Fail,4.4343767,Road,Route A,486.91412
skincare,SKU64,39.114277,70.06602,443.75662,6014.4614,Non-binary,52.317947,21.407429,24.28755,4.210204,Carrier A,5.069747,Supplier 2,Chennai,14.304428,539.3654,20.153942,66.18817,Pass,1.2341025,Air,Route A,751.2481
cosmetics,SKU26,64.09436,40.87823,781.60455,7724.064,Non-binary,-29.620228,23.335115,84.45061,5.405296,Carrier B,5.164396,Supplier 5,Mumbai,-11.306482,498.01184,22.619675,72.03089,Fail,3.9054046,Road,Route A,297.53986
cosmetics,SKU52,45.38309,49.230137,329.961,7110.6694,Male,5.162475,19.880495,45.80087,3.6367521,Carrier B,3.7159545,Supplier 4,Delhi,-0.86866564,374.84235,20.463291,78.065544,Fail,3.464945,Road,Route A,506.1859
